Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Aruba,ABW,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,,,,,,,,,,,,,,,,,,,,,,,,,,,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79
Andorra,AND,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,193.9050094,193.9050094,193.9050094,395.8893943,436.2862712,436.2862712,436.2862712,436.2862712,436.2862712,436.2862712,436.2862712,436.2862712,436.2862712,436.2862712,436.2862712,436.2862712,436.2862712,436.2862712,436.2862712,422.7533174,429.2895321,481.6519641,490.5796739,490.5796739,490.5796739,490.5796739,490.5796739,490.5796739,490.5796739,490.5796739,490.5796739,490.5796739,490.5796739,490.5796739,484.8594761,36.56714462,47.5,47.5,47.5,46.61953108,47.35757473,47.50001452,47.263,48.76275358,47.8453125,49.4945975,49.92533083,49.96201777,50.24961474,50.325,46.452461,46.74700774,50.9214,55.3775,57.2475
Angola,AGO,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,2.87E-08,2.87E-08,2.87E-08,2.88E-08,2.88E-08,2.88E-08,2.88E-08,2.88E-08,2.87E-08,2.86E-08,2.86E-08,2.82E-08,2.71E-08,2.45E-08,2.54E-08,2.56E-08,2.94E-08,2.99E-08,2.99E-08,2.99E-08,2.99E-08,2.99E-08,2.99E-08,2.99E-08,2.99E-08,2.99E-08,2.99E-08,2.99E-08,2.99E-08,2.99E-08,2.99E-08,5.51E-08,2.51E-07,2.66E-06,5.95E-05,0.00275023,0.128029167,0.229040083,0.392823518,2.790706167,10.04054417,22.05786167,43.53020667,74.60630083,83.5413625,87.15914167,80.36807206,76.70614275,75.03335417,79.32816667,91.90572034,93.93475,95.46795542,96.51827948,98.30241686
Albania,ALB,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.0325,102.0625,94.62333333,92.6975,104.4989167,148.9329167,150.6333333,137.6905833,143.7094167,143.4848333,140.1545159,121.86325,102.7800512,99.87025448,98.10337709,90.42789383,83.8946041,94.97811982,103.9364434,100.8949547,108.1846446,105.6686734,105.4792341
Arab World,ARB,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Arab Emirates,ARE,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,,,,,,,4.761900004,4.761900004,4.761900004,4.761900004,4.761900004,4.747962885,4.385977843,3.996271314,3.959045156,3.961284999,3.953072499,3.903247499,3.871210832,3.815675832,3.707364999,3.670999999,3.670999999,3.670999999,3.671,3.671,3.671,3.671,3.671,3.671,3.671,3.671,3.671,3.671,3.671,3.671,3.671,3.671125,3.6725,3.6725,3.6725,3.6725,3.6725,3.6725,3.6725,3.6725,3.6725,3.6725,3.6725,3.6725,3.6725,3.6725,3.6725,3.6725,3.6725
Argentina,ARG,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,,,8.72E-12,1.39E-11,1.40E-11,1.70E-11,2.09E-11,3.33E-11,3.50E-11,3.50E-11,3.79E-11,4.52E-11,5.00E-11,5.00E-11,5.00E-11,3.66E-10,1.40E-09,4.08E-09,7.96E-09,1.32E-08,1.84E-08,4.40E-08,2.59E-07,1.05E-06,6.76E-06,6.02E-05,9.43E-05,0.00021443,0.00087526,0.042333961,0.487589083,0.953554417,0.990641667,0.998945833,0.999008333,0.99975,0.9996625,0.9995,0.9995,0.9995,0.9995,0.9995,3.063256667,2.900629167,2.923300819,2.9036575,3.054313333,3.095648849,3.14416456,3.710106831,3.896295154,4.110139576,4.53693436,5.459352665,8.075275993
Armenia,ARM,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.105,288.6508333,405.9083333,414.0415,490.8467858,504.915,535.0618333,539.5258333,555.0782583,573.3533333,578.7629545,533.4508333,457.6869406,416.0403697,342.0791162,305.9694003,363.2832856,373.6604667,372.5008824,401.7639756,409.6257493,415.9197892
American Samoa,ASM,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,1.714290001,1.714290001,1.714290001,1.714290001,1.714290001,1.714290001,1.714290001,1.761908334,2.000000001,2.000000001,2.000000001,1.974872733,1.921278149,1.959219236,2.053232409,2.169795832,2.614670833,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7
Australia,AUS,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,0.892857,0.892857,0.892857,0.892857,0.892857,0.892857,0.892857,0.892857,0.892857,0.892857,0.892857,0.882670259,0.838697807,0.703497102,0.696665869,0.763871249,0.818284082,0.901824999,0.873659249,0.894640916,0.878244332,0.870214582,0.985862832,1.110014999,1.139519166,1.431895,1.495974166,1.42818,1.279908333,1.264596667,1.281056667,1.283755833,1.361648333,1.47056,1.367750833,1.3490325,1.277863333,1.34738,1.591828333,1.54995,1.724826667,1.9334425,1.8405625,1.541914167,1.3597525,1.309473333,1.327973441,1.1950725,1.192178333,1.28218881,1.090159486,0.969463201,0.965801031,1.035843097,1.109363293
Austria,AUT,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,26.00000003,26.00000003,26.00000003,26.00000003,26.00000003,26.00000003,26.00000003,26.00000003,26.00000003,26.00000003,26.00000003,24.9855839,23.11533333,19.58,18.6925,17.41675,17.93966667,16.52691667,14.52166667,13.3675,12.938,15.92683333,17.05925,17.96333333,20.00908333,20.6895,15.26713333,12.6425,12.34766667,13.23066667,11.36983333,11.67591667,10.98933333,11.6321825,11.42182492,10.08149583,10.5865575,12.20424417,12.379065,,,,,,,,,,,,,,,,
